model,route,requested_model_id,returned_model_id,ok,error,host
GPT-4.1,openai,gpt-4.1,gpt-4.1-2025-04-14,yes,,api.openai.com
GPT-4.1 mini,openai,gpt-4.1-mini,gpt-4.1-mini-2025-04-14,yes,,api.openai.com
GPT-4o,openai,gpt-4o,gpt-4o-2024-08-06,yes,,api.openai.com
Claude Sonnet 4.6,anthropic,claude-sonnet-4-6,claude-sonnet-4-6,yes,,api.anthropic.com
Claude Opus 4.8,openrouter,anthropic/claude-opus-4.8,anthropic/claude-opus-4.8,yes,,openrouter.ai
Claude Haiku,anthropic,claude-haiku-4-5,claude-haiku-4-5-20251001,yes,,api.anthropic.com
Gemini 2.5 Pro,gemini,gemini-2.5-pro,gemini-2.5-pro,yes,,generativelanguage.googleapis.com
Gemini 2.5 Flash,gemini,gemini-2.5-flash,gemini-2.5-flash,yes,,generativelanguage.googleapis.com
Llama 3.1 70B Instruct,openrouter,meta-llama/llama-3.1-70b-instruct,meta-llama/llama-3.1-70b-instruct,yes,,openrouter.ai
Llama 3.1 8B Instruct,openrouter,meta-llama/llama-3.1-8b-instruct,meta-llama/llama-3.1-8b-instruct,yes,,openrouter.ai
DeepSeek-V3.2,deepseek,deepseek-chat,deepseek-flash,yes,,api.deepseek.com
Qwen3.7 Plus,dashscope,qwen-max,qwen-max,yes,,dashscope.aliyuncs.com
Mistral Large,openrouter,mistralai/mistral-large,mistralai/mistral-large,yes,,openrouter.ai
Cohere Command R+,openrouter,cohere/command-r-plus-08-2024,cohere/command-r-plus-08-2024,yes,,openrouter.ai
Kimi K2.6,openrouter,moonshotai/kimi-k2.6-20260420,moonshotai/kimi-k2.6,yes,,openrouter.ai
