model,n,correct,accuracy,ci_low,ci_high,malformed
Claude Haiku,54,54,1.0,0.9339684857555782,1.0,0
Claude Opus 4.8,54,54,1.0,0.9339684857555782,1.0,0
Claude Sonnet 4.6,54,54,1.0,0.9339684857555782,1.0,0
Cohere Command R+,54,54,1.0,0.9339684857555782,1.0,0
DeepSeek-V3.2,54,54,1.0,0.9339684857555782,1.0,0
GPT-4.1,54,54,1.0,0.9339684857555782,1.0,0
GPT-4.1 mini,54,54,1.0,0.9339684857555782,1.0,0
GPT-4o,54,54,1.0,0.9339684857555782,1.0,0
Gemini 2.5 Flash,54,54,1.0,0.9339684857555782,1.0,0
Gemini 2.5 Pro,54,54,1.0,0.9339684857555782,1.0,0
Kimi K2.6,54,54,1.0,0.9339684857555782,1.0,0
Llama 3.1 70B Instruct,54,54,1.0,0.9339684857555782,1.0,0
Llama 3.1 8B Instruct,54,54,1.0,0.9339684857555782,1.0,0
Mistral Large,54,54,1.0,0.9339684857555782,1.0,0
POOLED,810,810,1.0,0.9954561823517688,1.0,0
Qwen3.7 Plus,54,54,1.0,0.9339684857555782,1.0,0
