model,predictor,coef,se,t,p,ci_low,ci_high
PVC model,(Intercept),37.719,2.704,13.949,3.3715617353841814e-09,31.877,43.561
PVC model,PVC,-2.144,1.893,-1.133,0.2778727148060417,-6.233,1.946
PVC model,__R2__,0.0898,0.0198,,,,
AP,(Intercept),40.462,15.067,2.685,0.018706184761912614,7.911,73.013
AP,AP,-0.669,3.61,-0.185,0.8558206844615526,-8.467,7.129
AP,__R2__,0.0026,-0.0741,,,,
ST,(Intercept),22.099,23.963,0.922,0.37321195163461,-29.669,73.868
ST,ST,3.497,5.328,0.656,0.523069946017684,-8.014,15.008
ST,__R2__,0.0321,-0.0424,,,,
CO,(Intercept),30.932,19.118,1.618,0.12967566803459385,-10.371,72.234
CO,CO,1.277,3.557,0.359,0.7253885459070358,-6.407,8.96
CO,__R2__,0.0098,-0.0664,,,,
BS,(Intercept),41.267,21.224,1.944,0.07381546604199941,-4.585,87.119
BS,BS,-0.619,3.669,-0.169,0.8686621926650349,-8.545,7.307
BS,__R2__,0.0022,-0.0746,,,,
CA,(Intercept),41.823,17.235,2.427,0.030522995517743123,4.589,79.057
CA,CA,-1.104,4.574,-0.241,0.8130313010929151,-10.986,8.778
CA,__R2__,0.0045,-0.0721,,,,
