predictor,sample,b,se,p,r2,lo,hi,n,mde80
PVOC composite,"N=9, fifteen-endpoint standardisation",-4.235800640896471,3.1400518213308324,0.21935547513423292,0.20632130462884657,-11.66084332887345,3.1892420470805067,9,10.067776975328309
PVOC composite,"N=9, re-standardised within nine",-2.1167203421815968,1.8276951940300572,0.2847904607372858,0.16080025418218857,-6.4385327225046485,2.205092038141455,9,5.860039464117916
PVOC composite,N=15,-2.1431972049069157,1.8929400853550853,0.2780001269217548,0.08975628500575417,-6.2326456338700424,1.9462512240562115,15,5.682586998679292
Collective obligation (raw 1-7),N=9,10.80854838709678,7.231180734443141,0.1786378787112624,0.24194598598561323,-6.290476945217991,27.907573719411552,9,23.1849405822255
Collective obligation (raw 1-7),N=15,1.276660777385159,3.556564842329402,0.7253885459070358,0.009814379171555587,-6.40683043266081,8.960151987431129,15,10.676771699929299
Collective obligation (standardised),N=9,5.014954210300111,3.3551258662012966,0.17863787871126285,0.24194598598561323,-2.918657780065721,12.948566200665944,9,10.75735716067056
Collective obligation (standardised),N=15,1.0479585092265853,2.919438316080387,0.7253885459070359,0.009814379171555698,-5.259104523309995,7.355021541763165,15,8.764124309456188
Leave-CO-out composite,N=15,-2.2163000653464864,2.205791229906429,0.3333468665229818,0.07206163100294738,-6.981622301136847,2.5490221704438736,15,6.621762971708525
AP (standardised),N=15,-0.5430546391259962,2.9300022283289224,0.8558206844615531,0.002635492058950639,-6.872939616573935,5.786830338321942,15,8.795837067225515
ST (standardised),N=15,1.8944112991345925,2.886440234093908,0.5230699460176829,0.03207179051798348,-4.341363711355009,8.130186309624193,15,8.665064400942208
CO (standardised),N=15,1.0479585092265853,2.919438316080387,0.7253885459070359,0.009814379171555698,-5.259104523309995,7.355021541763165,15,8.764124309456188
BS (standardised),N=15,-0.49427774711545824,2.930666340664428,0.8686621926650352,0.0021833168820273308,-6.825597452037394,5.837041957806477,15,8.79783072574255
CA (standardised),N=15,-0.7065761355093454,2.9273186504950064,0.813031301092914,0.004461620079947659,-7.030663595517714,5.617511324499024,15,8.787780993698973
