dropped_model,access_barriers_b,access_barriers_p,collective_responsibility_b,collective_responsibility_p,coercive_backlash_b,coercive_backlash_p
Claude Haiku,1.2774672112188845,0.004231630031882198,0.03737481853118674,0.9567827620452098,2.115199756671392,0.11264916143036906
Claude Opus 4.8,0.9503347804888012,0.04040412955545649,0.05010204067076729,0.9462347205703148,1.4939854250725555,0.20678881810120853
Claude Sonnet 4.6,1.1659966432336273,0.009059573820633618,0.09563537578101822,0.8894310586980256,1.1675235570791338,0.34567357791990116
Cohere Command R+,1.2921757840522017,0.0041255631077491495,-0.2448660596069927,0.7525731247293707,1.6787221626495334,0.1549569108674819
DeepSeek-V3.2,1.206601089976572,0.008117540702717986,0.4947282636086848,0.5166408006433669,1.6570633030248783,0.15536348349037998
GPT-4.1,0.9307451650928642,0.03799895919608195,0.06768437278250006,0.9214664527819242,1.5331936080858535,0.1922214306071982
GPT-4.1 mini,1.0057687473561634,0.023916177625213676,0.2481227006906357,0.7218230549644122,1.677088655848074,0.1501897918075523
GPT-4o,0.9342407231746963,0.032276314237999565,0.02704417814033122,0.9692979219470463,1.5507683296896746,0.18806887485785617
Gemini 2.5 Flash,0.9118954190702717,0.030396063077531718,-0.4192591214517959,0.5252292779343477,1.1213305289572695,0.3809763553083456
Gemini 2.5 Pro,0.9479398077570367,0.029447311859874814,-0.3262980354655376,0.6417265998485762,1.5548771920704247,0.2740185507339906
Kimi K2.6,1.2909392597781624,0.003897604557408658,0.14380220999975013,0.8361646485899135,1.624014062145491,0.17453510708601883
Llama 3.1 70B Instruct,1.0944984809894263,0.011306546915976797,0.2920161724600375,0.6776375846259439,1.5719996691649964,0.17791875666148982
Llama 3.1 8B Instruct,0.9164333384777751,0.035888443057105444,0.21112888190037982,0.7689101775733138,1.6270530018526237,0.16545845409502125
Mistral Large,1.098467094307184,0.0153146910965467,0.35966907191292674,0.6238884472960328,1.5938487943475343,0.1747585442232461
Qwen3.7 Plus,1.1524384531051952,0.010067723163546937,0.46807655329582926,0.49808807635600116,1.8678895981278563,0.12714152028433004
