dropped_model,access_barriers_b,access_barriers_p,collective_responsibility_b,collective_responsibility_p,coercive_backlash_b,coercive_backlash_p
Claude Haiku,0.12981012448714924,0.7833028646663369,0.1533226505644011,0.8563227350565589,1.2531309795979633,0.505552058321256
Claude Opus 4.8,0.20177592392530386,0.7083334838548139,0.07648667301570033,0.935961591646477,1.2021127815238222,0.507462881840731
Claude Sonnet 4.6,0.07718854287765176,0.87574351673138,0.14561488668177724,0.8606734068289502,1.2992847849473785,0.5069992796127142
Cohere Command R+,0.08512099904774789,0.8629029693022885,0.24169573496224683,0.7905605553116931,1.213056843650545,0.503288910458042
DeepSeek-V3.2,0.10530812184016236,0.8288413038892237,0.39793642254885964,0.660000515924812,1.2228189269992777,0.4990699819956552
GPT-4.1,0.04446978111436328,0.9260284227426872,0.14090271658197118,0.8652764003439664,1.2068836407704386,0.5068035855614104
GPT-4.1 mini,0.3650962967659661,0.43189540891952083,0.25572615968596213,0.7636134951292093,1.2126804952199441,0.5028196062188786
GPT-4o,0.14713959154046896,0.7628199546922092,0.1324924061936783,0.8785909914118981,1.205890784212527,0.5065413076842689
Gemini 2.5 Flash,0.17840066353028083,0.694682889342551,-0.6191696267690853,0.25544460210848396,0.954513237047034,0.38252640761409806
Gemini 2.5 Pro,0.1186164508252574,0.7993807646606641,0.05680850745709076,0.9516827068368631,0.6871276503681152,0.8180654124547363
Kimi K2.6,0.08095725715765245,0.8700054150391213,0.297164769260845,0.7212220801288777,1.192591587698296,0.5255877014922987
Llama 3.1 70B Instruct,0.17020961121435452,0.7183278153574184,0.16629695724057203,0.8573184385018932,1.2079186837394928,0.5052123674634138
Llama 3.1 8B Instruct,-0.034215990738439395,0.9431609842031158,0.3943567503997313,0.6572471054494609,1.2232216689023798,0.4996443549467947
Mistral Large,0.11615069436746128,0.8190978077833718,0.28767442740933513,0.7371540089499651,1.2158166274295121,0.5023653614661839
Qwen3.7 Plus,0.13928490411296668,0.7656648066869944,0.03719440906001881,0.9655579135756933,1.5755143350724776,0.42918169610916856
