model,N,json_valid_pct,score_valid_pct,non_refusal_pct,mean_willingness,stability_sd,delta_sd,sign_flip_pct
Claude Haiku,270,100.0,100.0,100.0,56.59,0.03,8.23,0.0
Claude Opus 4.8,270,100.0,100.0,100.0,52.54,0.54,8.74,0.0
Claude Sonnet 4.6,270,100.0,100.0,100.0,47.99,0.44,8.35,0.0
Cohere Command R+,270,100.0,100.0,100.0,58.91,2.16,5.27,0.0
DeepSeek-V3.2,270,100.0,100.0,100.0,56.86,1.24,5.28,0.0
GPT-4.1,270,100.0,100.0,100.0,61.85,0.69,8.27,0.0
GPT-4.1 mini,270,100.0,100.0,100.0,58.81,0.94,4.45,0.0
GPT-4o,270,100.0,100.0,100.0,64.8,0.97,9.08,0.0
Gemini 2.5 Flash,270,97.8,97.8,100.0,57.92,3.06,9.64,0.0
Gemini 2.5 Pro,270,100.0,100.0,100.0,50.48,3.03,8.0,0.0
Kimi K2.6,270,100.0,100.0,100.0,55.25,1.63,6.43,0.0
Llama 3.1 70B Instruct,270,100.0,100.0,100.0,65.48,0.87,9.45,0.0
Llama 3.1 8B Instruct,270,100.0,100.0,100.0,52.76,3.14,7.23,0.0
Mistral Large,270,100.0,100.0,100.0,57.52,0.4,6.07,0.0
Qwen3.7 Plus,270,100.0,100.0,100.0,56.1,2.23,7.43,0.0
