Model,AP,ST,CO,BS,CA,PVC
GPT-4.1,4.75,4,5.75,6.5,3.75,2.146
Llama 3.1 70B Instruct,2.75,3.75,3.5,4.5,4.75,1.944
Llama 3.1 8B Instruct,2.75,3.5,4.25,4.5,5,1.882
DeepSeek-V3.2,4.5,4.25,5.25,5.75,3.75,1.047
GPT-4o,4.25,4.25,5.25,6.25,3.5,0.974
Cohere Command R+,2.5,3.75,4,4.25,4.75,0.714
Claude Haiku,4.75,4.75,5.25,5.5,3.75,0.119
Gemini 2.5 Pro,4.75,4.75,6,6.5,3.5,0.066
GPT-4.1 mini,4.25,4.5,6,6.5,3.5,-0.088
Claude Sonnet 4.6,4.5,4.75,6,6,3.75,-0.477
Gemini 2.5 Flash,5,4.75,6.5,6.5,3,-1.016
Kimi K2.6,3.75,4.5,5.5,6,3.25,-1.111
Claude Opus 4.8,4.75,5,5.25,5,3.5,-1.359
Qwen3.7 Plus,4.25,5.25,5.5,6,3,-2.271
Mistral Large,4,5.25,5.75,6.25,3,-2.57
