Model,Mean_Low,Mean_High,Mean_Delta,SD_Delta,SE_Delta,CI_Low,CI_High,N
Claude Haiku,72.0,41.18,30.82,8.23,1.58,27.72,33.93,27
Claude Opus 4.8,70.44,34.63,35.81,8.74,1.68,32.52,39.11,27
Claude Sonnet 4.6,63.73,32.24,31.5,8.35,1.61,28.35,34.65,27
Cohere Command R+,76.78,41.04,35.74,5.27,1.01,33.75,37.73,27
DeepSeek-V3.2,75.76,37.96,37.79,5.28,1.02,35.8,39.78,27
GPT-4.1,74.67,49.04,25.63,8.27,1.59,22.51,28.75,27
GPT-4.1 mini,73.48,44.15,29.33,4.45,0.86,27.66,31.01,27
GPT-4o,76.33,53.26,23.07,9.08,1.75,19.65,26.5,27
Gemini 2.5 Flash,81.63,33.48,48.15,9.64,1.85,44.51,51.78,27
Gemini 2.5 Pro,77.44,23.52,53.93,8.0,1.54,50.91,56.94,27
Kimi K2.6,74.31,36.19,38.13,6.43,1.24,35.7,40.55,27
Llama 3.1 70B Instruct,80.0,50.96,29.04,9.45,1.82,25.47,32.6,27
Llama 3.1 8B Instruct,80.48,25.04,55.44,7.23,1.39,52.72,58.17,27
Mistral Large,76.0,39.04,36.96,6.07,1.17,34.67,39.25,27
Qwen3.7 Plus,83.33,28.87,54.45,7.43,1.43,51.65,57.26,27
