bib_author,bib_title,bib_year,cr_authors,cr_container,cr_first_author,cr_title,cr_year,detail,doi,key,status
"Aher, Gati and Arriaga, Rosa I. and Kalai, Adam Tauman",Using Large Language Models to Simulate Multiple Humans and Replicate Human Subject Studies,2022,,,,,,no Crossref DOI by title (book/report/preprint?),,Aher2022,NO-MATCH
"Argyle, Lisa P. and Busby, Ethan C. and Fulda, Nancy and Gubler, Joshua R. and Rytting, Christopher and Wingate, David","Out of One, Many: Using Language Models to Simulate Human Samples",2023,"Argyle, Lisa P.; Busby, Ethan C.; Fulda, Nancy; Gubler, Joshua R.; Rytting, Christopher; Wingate, David",Political Analysis,argyle,"Out of One, Many: Using Language Models to Simulate Human Samples",2023,,10.1017/pan.2023.2,Argyle2023,OK
"Baek, Seungkook and others",Assessment of {LLMs} for Generating Synthetic Health-Related Quality-of-Life Survey Responses Among {U.S.} Adults,2026,"Baek, Seungkook; Lee, Sunghyun; Kim, Hyungjin; Park, Sungchul",American Journal of Preventive Medicine,baek,Assessment of LLMs for Generating Synthetic Health-Related Quality-of-Life Survey Responses Among U.S. Adults,2026,,10.1016/j.amepre.2026.108454,Baek2026synthetic,OK
"Bang, Yejin and Chen, Delong and Lee, Nayeon and Fung, Pascale",Measuring Political Bias in Large Language Models: What Is Said and How It Is Said,2024,"Bang, Yejin; Chen, Delong; Lee, Nayeon; Fung, Pascale",Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),Bang,Measuring Political Bias in Large Language Models: What Is Said and How It Is Said,2024,probable DOI 10.18653/v1/2024.acl-long.600,,Bang2024,SUGGEST-DOI
"Cui, Ziyan and Li, Ning and Zhou, Huaikang",A large-scale replication of scenario-based experiments in psychology and management using large language models,2025,"Cui, Ziyan; Li, Ning; Zhou, Huaikang",Nature Computational Science,cui,A large-scale replication of scenario-based experiments in psychology and management using large language models,2025,,10.1038/s43588-025-00840-7,Cui2025replication,OK
"Faulborn, Mats and Sen, Indira and Pellert, Max and Spitz, Andreas and Garcia, David",Only a Little to the Left: A Theory-grounded Measure of Political Bias in Large Language Models,2025,"Faulborn, Mats; Sen, Indira; Pellert, Max; Spitz, Andreas; Garcia, David",Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),faulborn,Only a Little to the Left: A Theory-grounded Measure of Political Bias in Large Language Models,2025,,10.18653/v1/2025.acl-long.1529,Faulborn2025,OK
"Kamal, Sadia and Prakash, Lalu Prasad Yadav and Rafiuddin, S M and Rakib, Mohammed and Sen, Atriya and Choudhury, Sagnik Ray",A Detailed Factor Analysis for the Political Compass Test: Navigating Ideologies of Large Language Models,2025,"Kamal, Sadia; Prakash, Lalu Prasad Yadav; Rafiuddin, S M; Rakib, Mohammed; Sen, Atriya; Choudhury, Sagnik Ray",Proceedings of the 14th International Joint Conference on Natural Language Processing and the 4th Conference of the Asia-Pacific Chapter of the Association for Computational Linguistics,kamal,A Detailed Factor Analysis for the Political Compass Test: Navigating Ideologies of Large Language Models,2025,,10.18653/v1/2025.ijcnlp-short.25,Kamal2025,OK
"Kyle, Michael Anne and Frakt, Austin",Patient Administrative Burden in the US Health Care System,2021,"Kyle, Michael Anne; Frakt, Austin B.",Health Services Research,kyle,Patient administrative burden in the US health care system,2021,,10.1111/1475-6773.13861,Kyle2021,OK
"Li, Yuan and Huang, Yue and Wang, Hongyi and Cheng, Ying and Zhang, Xiangliang and Zou, James","Large Language Model Psychometrics: A Systematic Review of Evaluation, Validation, and Enhancement",2025,,,,,,no Crossref DOI by title (book/report/preprint?),,Li2025,NO-MATCH
"Lin, Zhicheng",Large Language Models as Linguistic Simulators and Cognitive Models in Human Research,2024,"Lin, Zhicheng",,Lin,Large language models as linguistic simulators and cognitive models in human research,2024,probable DOI 10.31234/osf.io/uqxcb,,Lin2024,SUGGEST-DOI
"Miotto, Marcellus and Rossberg, Nicole and Kleinberg, Bennett",You Don't Need a Personality Test to Know These Models Are Unreliable: Assessing the Reliability of Large Language Models on Psychometric Instruments,2023,"Shu, Bangzhao; Zhang, Lechen; Choi, Minje; Dunagan, Lavinia; Logeswaran, Lajanugen; Lee, Moontae; Card, Dallas; Jurgens, David",Proceedings of the 2024 Conference of the North American Chapter of the Association for Computational Linguistics: Human Language Technologies (Volume 1: Long Papers),Shu,You don’t need a personality test to know these models are unreliable: Assessing the Reliability of Large Language Models on Psychometric Instruments,2024,probable DOI 10.18653/v1/2024.naacl-long.295,,Miotto2023,SUGGEST-DOI
"Motoki, Fabio and Pinho Neto, Valdemar and Rodrigues, Victor",The Political Preferences of LLMs,2024,"Rozado, David",PLOS ONE,rozado,The political preferences of LLMs,2024,first author: bib='motoki' crossref='rozado',10.1371/journal.pone.0306621,Motoki2024,MISMATCH
"Park, Joon Sung and O'Brien, Joseph C. and Cai, Carrie J. and Morris, Meredith Ringel and Liang, Percy and Bernstein, Michael S.",Generative Agents: Interactive Simulacra of Human Behavior,2023,"Park, Joon Sung; O'Brien, Joseph; Cai, Carrie Jun; Morris, Meredith Ringel; Liang, Percy; Bernstein, Michael S.",Proceedings of the 36th Annual ACM Symposium on User Interface Software and Technology,park,Generative Agents: Interactive Simulacra of Human Behavior,2023,,10.1145/3586183.3606763,Park2023,OK
"Peng, Tai-Quan and Yang, Kaiqi and Lee, Sanguk and Li, Hang and Chu, Yucheng and Lin, Yu-Ping",Beyond Partisan Leaning: A Comparative Analysis of Political Bias in Large Language Models,2026,"Peng, Tai-Quan; Yang, Kaiqi; Lee, Sanguk; Li, Hang; Chu, Yucheng; Lin, Yuping; Liu, Hui",Journal of Information Technology &amp; Politics,peng,Beyond partisan leaning: a comparative analysis of political bias in large language models,2026,,10.1080/19331681.2026.2646990,Peng2026,OK
"R{\""o}ttger, Paul and Hofmann, Valentin and Pyatkin, Valentina and Hinck, Musashi and Kirk, Hannah Rose and Sch{\""u}tze, Hinrich and Hovy, Dirk",Political Compass or Spinning Arrow? Towards More Meaningful Evaluations for Values and Opinions in Large Language Models,2024,"Röttger, Paul; Hofmann, Valentin; Pyatkin, Valentina; Hinck, Musashi; Kirk, Hannah; Schuetze, Hinrich; Hovy, Dirk",Proceedings of the 62nd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),rottger,Political Compass or Spinning Arrow? Towards More Meaningful Evaluations for Values and Opinions in Large Language Models,2024,,10.18653/v1/2024.acl-long.816,Rottger2024,OK
"Rozado, David",The Political Preferences of LLMs,2024,"Rozado, David",PLOS ONE,rozado,The political preferences of LLMs,2024,,10.1371/journal.pone.0306621,Rozado2024,OK
"Shafer, Paul","``When There Are Enough Cracks, Everyone Steps on Them'': Administrative Burdens in the {US} Health Care System",2025,"Shafer, Paul R.",Health Services Research,shafer,"“When There Are Enough Cracks, Everyone Steps on Them”: Administrative Burdens in the <scp>US</scp> Health Care System",2025,,10.1111/1475-6773.14602,Shafer2025,OK
"Shin, Jae Y. and others",Patient Administrative Burden: A Scoping Review,2025,"Kyle, Michael Anne; Feng, Kimberly Y; Wade, Carrie G; Yaver, Miranda",Health Affairs Scholar,kyle,Patient administrative burden: a scoping review,2025,first author: bib='shin' crossref='kyle',10.1093/haschl/qxaf216,Shin2025,MISMATCH
"Templin, Tara and Fort, Sophia and Padmanabham, Prasanna and Seshadri, Pratyush and Rimal, Ram and Oliva, Junier and Hassmiller Lich, Kristin and Sylvia, Sean and Sinnott-Armstrong, Nasa",Framework for bias evaluation in large language models in healthcare settings,2025,"Templin, Tara; Fort, Sophia; Padmanabham, Prasanna; Seshadri, Pratyush; Rimal, Ram; Oliva, Junier; Hassmiller Lich, Kristin; Sylvia, Sean; Sinnott-Armstrong, Nasa",npj Digital Medicine,templin,Framework for bias evaluation in large language models in healthcare settings,2025,,10.1038/s41746-025-01786-w,Templin2025framework,OK
"Tjuatja, Lindia and Chen, Valerie and Wu, Tongshuang and Talwalkar, Ameet and Neubig, Graham",Do {LLMs} Exhibit Human-like Response Biases? A Case Study in Survey Design,2024,,,,,,HTTP Error 404: Not Found,10.1162/tacl\_a\_00685,Tjuatja2024,ERROR
"Wang, Angelina and Morgenstern, Jamie and Dickerson, John P.",Large language models that replace human participants can harmfully misportray and flatten identity groups,2025,"Wang, Angelina; Morgenstern, Jamie; Dickerson, John P.",Nature Machine Intelligence,wang,Large language models that replace human participants can harmfully misportray and flatten identity groups,2025,,10.1038/s42256-025-00986-z,Wang2025identity,OK
"Wright, Dustin and Arora, Arnav and Borenstein, Nadav and Yadav, Srishti and Belongie, Serge and Augenstein, Isabelle",Revealing Fine-Grained Values and Opinions in Large Language Models,2024,"Wright, Dustin; Arora, Arnav; Borenstein, Nadav; Yadav, Srishti; Belongie, Serge; Augenstein, Isabelle",Findings of the Association for Computational Linguistics: EMNLP 2024,wright,LLM Tropes: Revealing Fine-Grained Values and Opinions in Large Language Models,2024,,10.18653/v1/2024.findings-emnlp.995,Wright2024,OK
Caleb Ziems and William Held and Omar Shaikh and Jiaao Chen and Zhehao Zhang and Diyi Yang,Can Large Language Models Transform Computational Social Science?,2024,,,,,,HTTP Error 404: Not Found,10.1162/coli\_a\_00502,Ziems2024,ERROR
