omitted_model,predictor,beta,se,t,p,r2
Claude Haiku,PVC,2.3648,2.0928,1.13,0.2806,0.0962
Claude Haiku,CO,5.3154,3.6862,1.442,0.1749,0.1477
Claude Opus 4.8,PVC,1.4963,2.0503,0.7298,0.4795,0.0425
Claude Opus 4.8,CO,5.7512,3.6459,1.5775,0.1407,0.1717
Claude Sonnet 4.6,PVC,1.5032,2.0884,0.7198,0.4855,0.0414
Claude Sonnet 4.6,CO,5.7099,3.6353,1.5707,0.1422,0.1705
Cohere Command R+,PVC,1.4532,2.019,0.7198,0.4854,0.0414
Cohere Command R+,CO,5.4812,3.7984,1.443,0.1746,0.1479
DeepSeek-V3.2,PVC,2.0358,1.9735,1.0316,0.3226,0.0815
DeepSeek-V3.2,CO,5.236,3.5302,1.4832,0.1638,0.1549
GPT-4.1,PVC,1.3867,2.0275,0.684,0.507,0.0375
GPT-4.1,CO,6.58,3.5053,1.8771,0.085,0.227
GPT-4.1 mini,PVC,1.4972,2.0462,0.7317,0.4784,0.0427
GPT-4.1 mini,CO,5.7479,3.5926,1.5999,0.1356,0.1758
GPT-4o,PVC,0.909,2.084,0.4362,0.6704,0.0156
GPT-4o,CO,5.6351,3.3982,1.6582,0.1232,0.1864
Gemini 2.5 Flash,PVC,1.3329,1.7912,0.7441,0.4711,0.0441
Gemini 2.5 Flash,CO,4.0345,3.4363,1.1741,0.2631,0.103
Gemini 2.5 Pro,PVC,1.5011,1.5523,0.9671,0.3526,0.0723
Gemini 2.5 Pro,CO,2.7423,3.1986,0.8573,0.4081,0.0577
Kimi K2.6,PVC,1.5489,2.0647,0.7502,0.4676,0.0448
Kimi K2.6,CO,5.6948,3.6042,1.5801,0.1401,0.1722
Llama 3.1 70B Instruct,PVC,1.9061,2.1174,0.9002,0.3857,0.0633
Llama 3.1 70B Instruct,CO,5.6644,3.5777,1.5832,0.1393,0.1728
Llama 3.1 8B Instruct,PVC,1.8859,2.3258,0.8109,0.4332,0.0519
Llama 3.1 8B Instruct,CO,12.0544,4.4781,2.6919,0.0196,0.3765
Mistral Large,PVC,-0.1964,2.4409,-0.0805,0.9372,0.0005
Mistral Large,CO,6.5649,3.1886,2.0589,0.0619,0.261
Qwen3.6-72B Instruct,PVC,1.5801,2.0552,0.7688,0.4569,0.0469
Qwen3.6-72B Instruct,CO,5.6709,3.5916,1.5789,0.1403,0.172
