omitted_model,variable,coef,SE,p,R2
Claude Haiku,PVC,2.6880823536230283,0.1675743293596546,2.233805634488633e-54,0.32740273343671744
Claude Haiku,access_barriers,10.550962291986842,0.5342959436971972,4.8583414938004356e-79,0.32740273343671744
Claude Haiku,collective_responsibility,-6.96915223032791,0.534871772638284,3.209230627539782e-37,0.32740273343671744
Claude Haiku,coercive_backlash,4.910574496920644,0.9401361281837357,1.9525809162005655e-07,0.32740273343671744
Claude Opus 4.8,PVC,1.513637381030771,0.16688022905577515,2.9058924878869375e-19,0.25124521911553754
Claude Opus 4.8,access_barriers,9.380208178758162,0.5712609358246608,9.915570515249893e-57,0.25124521911553754
Claude Opus 4.8,collective_responsibility,-6.948091966777461,0.5760755840560711,2.547752964176782e-32,0.25124521911553754
Claude Opus 4.8,coercive_backlash,5.9400769526555,1.0268822966258977,8.49365599608417e-09,0.25124521911553754
Claude Sonnet 4.6,PVC,1.4592970948538977,0.17111419778417825,3.00378347422783e-17,0.24424382589915594
Claude Sonnet 4.6,access_barriers,9.478581452288948,0.5756600204163266,5.149088432532374e-57,0.24424382589915594
Claude Sonnet 4.6,collective_responsibility,-6.4217098442893645,0.5710499665687813,1.9231400826771012e-28,0.24424382589915594
Claude Sonnet 4.6,coercive_backlash,5.737680142098459,1.0671461914323426,8.5328809648834e-08,0.24424382589915594
Cohere Command R+,PVC,1.4554372155491246,0.16268850323047263,8.588457484224699e-19,0.27188719768614045
Cohere Command R+,access_barriers,9.062515369766572,0.558506306365624,1.5951199239044506e-55,0.27188719768614045
Cohere Command R+,collective_responsibility,-7.969688464838097,0.5670164420730913,9.506804729141955e-43,0.27188719768614045
Cohere Command R+,coercive_backlash,7.514039522129251,1.043004640371183,8.404691857304573e-13,0.27188719768614045
DeepSeek-V3.2,PVC,1.9343324436528877,0.16820467828083666,1.2565764844031072e-29,0.2363232103845221
DeepSeek-V3.2,access_barriers,8.861278383851921,0.5597701242443975,4.368699760695219e-53,0.2363232103845221
DeepSeek-V3.2,collective_responsibility,-4.338876521979699,0.5730069222433578,5.716688696239233e-14,0.2363232103845221
DeepSeek-V3.2,coercive_backlash,6.553915687620899,0.9759697123955462,2.4772245985460772e-11,0.2363232103845221
GPT-4.1,PVC,1.4531594677594382,0.16723568722570867,7.773389306777703e-18,0.22879058543111652
GPT-4.1,access_barriers,9.158635119373239,0.5750300627497786,1.1168480224506054e-53,0.22879058543111652
GPT-4.1,collective_responsibility,-5.7562332204145825,0.5723261201307704,3.240456166784723e-23,0.22879058543111652
GPT-4.1,coercive_backlash,5.404097938465378,0.9972163665295096,6.757049756813217e-08,0.22879058543111652
GPT-4.1 mini,PVC,1.5483941697990349,0.16862446714390877,1.076568333058919e-19,0.23730033827069352
GPT-4.1 mini,access_barriers,9.198858764036785,0.5816365533810327,5.371208008758145e-53,0.23730033827069352
GPT-4.1 mini,collective_responsibility,-6.220367467153373,0.5783668415869045,3.185147856890139e-26,0.23730033827069352
GPT-4.1 mini,coercive_backlash,5.9104363812825,1.0101674481063698,5.75103827264239e-09,0.23730033827069352
GPT-4o,PVC,0.9935723425290224,0.17128552580413683,7.729764090292979e-09,0.23295130221849847
GPT-4o,access_barriers,8.263340223419046,0.5603453291363772,1.1628170892222357e-46,0.23295130221849847
GPT-4o,collective_responsibility,-7.588271966930876,0.5624817711664786,1.1589996064542894e-39,0.23295130221849847
GPT-4o,coercive_backlash,5.607418530545315,0.9673315500523938,7.907830699676327e-09,0.23295130221849847
Gemini 2.5 Flash,PVC,1.3927099699113767,0.15476357208727154,5.425364654209842e-19,0.19784174895003415
Gemini 2.5 Flash,access_barriers,7.289720812844957,0.5251445989560649,8.730770158890882e-42,0.19784174895003415
Gemini 2.5 Flash,collective_responsibility,-6.230199711922497,0.5319159895006104,1.2316469530446527e-30,0.19784174895003415
Gemini 2.5 Flash,coercive_backlash,0.9269406108616529,1.0962059178069756,0.39788901742543764,0.19784174895003415
Gemini 2.5 Pro,PVC,1.5377460974786614,0.1420054001651932,1.496053834675143e-26,0.21193310093332784
Gemini 2.5 Pro,access_barriers,6.918864441004363,0.4849568083855261,6.277619539232735e-44,0.21193310093332784
Gemini 2.5 Pro,collective_responsibility,-2.61112511307734,0.4936081836470969,1.3666255421542836e-07,0.21193310093332784
Gemini 2.5 Pro,coercive_backlash,7.886994591097112,0.8521904803942935,5.639607450776691e-20,0.21193310093332784
Kimi K2.6,PVC,1.4940305169366515,0.16859409090054078,1.7830882386557077e-18,0.24754009512527397
Kimi K2.6,access_barriers,8.850064521285008,0.5724386955210733,7.450620083868417e-51,0.24754009512527397
Kimi K2.6,collective_responsibility,-6.0739520192983365,0.5714787785171412,1.152421229320252e-25,0.24754009512527397
Kimi K2.6,coercive_backlash,9.092340889759178,1.1534217364397419,5.365703310685817e-15,0.24754009512527397
Llama 3.1 70B Instruct,PVC,1.832365902713914,0.1739089686704,2.918362895958296e-25,0.24484140479383587
Llama 3.1 70B Instruct,access_barriers,8.007198961677144,0.5761143267845382,7.01577958896017e-42,0.24484140479383587
Llama 3.1 70B Instruct,collective_responsibility,-6.918862233418396,0.5814012754883622,1.5441220729421682e-31,0.24484140479383587
Llama 3.1 70B Instruct,coercive_backlash,5.932148286457297,0.9800782975176434,1.714289998425793e-09,0.24484140479383587
Llama 3.1 8B Instruct,PVC,1.170152840003896,0.1945363632518363,2.1546870295247987e-09,0.2436698190958002
Llama 3.1 8B Instruct,access_barriers,9.472886703980059,0.5762583698352602,7.601304558581781e-57,0.2436698190958002
Llama 3.1 8B Instruct,collective_responsibility,-6.720898102101484,0.5748043504540868,1.5386423652705928e-30,0.2436698190958002
Llama 3.1 8B Instruct,coercive_backlash,6.261704422787626,1.0007996114283484,4.855046823627644e-10,0.2436698190958002
Mistral Large,PVC,0.9123517732384239,0.2190019720993735,3.240812180173728e-05,0.15684505073708366
Mistral Large,access_barriers,8.05160841749682,0.5865725700342279,6.141894344586135e-41,0.15684505073708366
Mistral Large,collective_responsibility,-5.560709687017189,0.5742290752609672,1.120938754956405e-21,0.15684505073708366
Mistral Large,coercive_backlash,5.697799858805581,0.997832352398461,1.3086355109656663e-08,0.15684505073708366
Qwen3.6-72B Instruct,PVC,1.5375945300469471,0.1675726322176002,1.1437406895157252e-19,0.2410128494374535
Qwen3.6-72B Instruct,access_barriers,9.202841343817022,0.5719547622492722,1.1145192203574717e-54,0.2410128494374535
Qwen3.6-72B Instruct,collective_responsibility,-6.205236363977225,0.5708813057008431,9.830220354232002e-27,0.2410128494374535
Qwen3.6-72B Instruct,coercive_backlash,5.936825055187705,0.9916332521970143,2.554593691491927e-09,0.2410128494374535
