model,AP,ST,CO,BS,CA,z_AP,z_ST,z_CO,z_BS,z_CA,PVC
Claude Sonnet 4.6,4.5,4.5,6.0,5.75,3.75,0.656,-0.617,0.53,-0.028,0.49,1.205
DeepSeek-V3.2,4.0,5.0,6.0,5.5,3.75,-0.502,0.309,0.53,-0.449,0.49,-1.3
GPT-4.1,4.5,5.25,6.25,6.0,3.5,0.656,0.772,0.814,0.393,-0.075,-0.612
GPT-4.1 mini,4.25,5.5,5.75,6.5,3.5,0.077,1.234,0.246,1.235,-0.075,-0.243
GPT-4o,4.25,5.25,5.5,5.75,3.0,0.077,0.772,-0.038,-0.028,-1.207,-1.892
Gemini 2.5 Flash,4.5,4.75,6.5,6.5,3.25,0.656,-0.154,1.098,1.235,-0.641,0.306
Gemini 2.5 Pro,4.25,4.75,6.75,6.5,3.5,0.077,-0.154,1.382,1.235,-0.075,0.009
Llama 3.1 70B Instruct,4.75,5.0,5.5,6.0,3.75,1.236,0.309,-0.038,0.393,0.49,1.848
Qwen3.6-72B Instruct,4.5,4.75,5.5,5.75,3.5,0.656,-0.154,-0.038,-0.028,-0.075,0.745
Claude Haiku,4.5,4.5,4.75,5.5,3.75,0.656,-0.617,-0.889,-0.449,0.49,2.203
Claude Opus 4.8,4.5,5,5,5,3.5,0.656,0.309,-0.606,-1.292,-0.075,-0.414
Cohere Command R+,3.75,4.75,4.5,5.5,3.5,-1.081,-0.154,-1.173,-0.449,-0.075,-0.278
Kimi K2.6,4,4.75,5.75,6,3.25,-0.502,-0.154,0.246,0.393,-0.641,-0.842
Llama 3.1 8B Instruct,3,3.25,3.25,4.25,4.75,-2.819,-2.932,-2.593,-2.555,2.754,2.905
Mistral Large,4,5.5,6,6,2.75,-0.502,1.234,0.53,0.393,-1.773,-3.646
