dimension,item,n_models,dim_alpha,item_total_r,alpha_if_dropped
AP,AP1,15,-0.239,-0.189,0.147
AP,AP2,15,-0.239,0.26,-0.797
AP,AP3,15,-0.239,-0.267,0.121
AP,AP4,15,-0.239,-0.073,-0.218
ST,ST1,15,0.522,-0.108,0.7
ST,ST2,15,0.522,0.182,0.548
ST,ST3,15,0.522,0.66,0.008
ST,ST4,15,0.522,0.601,0.14
CO,CO1,15,0.869,0.695,0.843
CO,CO2,15,0.869,0.856,0.789
CO,CO3,15,0.869,0.655,0.863
CO,CO4,15,0.869,0.8,0.827
BS,BS1,15,0.685,0.868,0.337
BS,BS2,15,0.685,0.56,0.563
BS,BS3,15,0.685,0.019,0.831
BS,BS4,15,0.685,0.551,0.573
CA,CA1,15,0.02,0.238,-0.433
CA,CA2,15,0.02,0.312,-0.928
CA,CA3,15,0.02,0.413,-0.477
CA,CA4,15,0.02,-0.554,0.676
