Model,Mean_Low,Mean_High,Mean_Delta,SD_Delta,SE_Delta,CI_Low,CI_High,N
Claude Haiku,70.96,42.74,28.22,6.5,0.56,27.13,29.32,135
Claude Opus 4.8,70.73,35.33,35.4,6.23,0.54,34.35,36.45,135
Claude Sonnet 4.6,71.13,32.09,39.04,5.79,0.5,38.06,40.01,135
Cohere Command R+,75.11,45.63,29.48,5.83,0.5,28.49,30.46,134
DeepSeek-V3.2,76.63,27.52,49.11,5.25,0.45,48.23,50.0,135
GPT-4.1,82.81,53.78,29.04,7.24,0.62,27.82,30.26,135
GPT-4.1 mini,76.48,41.44,35.04,4.51,0.39,34.28,35.8,135
GPT-4o,83.56,59.67,23.89,7.17,0.62,22.68,25.1,135
Gemini 2.5 Flash,88.01,29.81,58.19,9.61,0.83,56.57,59.81,135
Gemini 2.5 Pro,87.93,23.07,64.85,6.88,0.59,63.69,66.01,135
Kimi K2.6,77.07,39.57,37.51,6.51,0.56,36.41,38.62,134
Llama 3.1 70B Instruct,81.11,48.3,32.81,9.82,0.85,31.16,34.47,135
Llama 3.1 8B Instruct,84.33,46.48,37.85,4.72,0.41,37.06,38.65,135
Mistral Large,71.16,50.3,20.87,5.64,0.49,19.92,21.82,135
Qwen3.6-72B Instruct,78.96,44.19,34.78,8.85,0.76,33.29,36.27,135
