predictor,beta_true,power,mean_beta_hat,residual_sd,n
PVC,0.0,0.0292,0.0258,14.69,9
PVC,0.25,0.0323,0.2279,14.69,9
PVC,0.5,0.0404,0.5318,14.69,9
PVC,0.75,0.0442,0.7595,14.69,9
PVC,1.0,0.0549,1.0057,14.69,9
PVC,1.25,0.062,1.2531,14.69,9
PVC,1.5,0.0801,1.507,14.69,9
PVC,1.75,0.0891,1.7467,14.69,9
PVC,2.0,0.1069,2.0164,14.69,9
PVC,2.25,0.1284,2.2765,14.69,9
PVC,2.5,0.1337,2.4638,14.69,9
PVC,2.75,0.1626,2.7424,14.69,9
PVC,3.0,0.1861,3.0132,14.69,9
PVC,3.25,0.2168,3.2522,14.69,9
PVC,3.5,0.2338,3.495,14.69,9
PVC,3.75,0.2614,3.7168,14.69,9
PVC,4.0,0.2938,3.9932,14.69,9
PVC,4.25,0.3329,4.2124,14.69,9
PVC,4.5,0.3659,4.5363,14.69,9
PVC,4.75,0.3911,4.7622,14.69,9
PVC,5.0,0.4271,4.9996,14.69,9
PVC,5.25,0.4657,5.2635,14.69,9
PVC,5.5,0.4952,5.5202,14.69,9
PVC,5.75,0.5343,5.7658,14.69,9
PVC,6.0,0.563,5.985,14.69,9
PVC,6.25,0.6011,6.2412,14.69,9
PVC,6.5,0.6337,6.4788,14.69,9
PVC,6.75,0.6599,6.7263,14.69,9
PVC,7.0,0.6957,6.9894,14.69,9
PVC,7.25,0.7229,7.2345,14.69,9
PVC,7.5,0.7581,7.4919,14.69,9
PVC,7.75,0.7795,7.7295,14.69,9
PVC,8.0,0.8043,7.9974,14.69,9
PVC,8.25,0.8283,8.2563,14.69,9
PVC,8.5,0.8469,8.4735,14.69,9
PVC,8.75,0.8726,8.8026,14.69,9
PVC,9.0,0.8896,9.0001,14.69,9
PVC,9.25,0.9039,9.2583,14.69,9
PVC,9.5,0.9181,9.5315,14.69,9
PVC,9.75,0.9284,9.7638,14.69,9
PVC,10.0,0.9404,10.0107,14.69,9
CO,0.0,0.0263,0.0084,8.67,9
CO,0.25,0.0265,0.215,8.67,9
CO,0.5,0.028,0.5755,8.67,9
CO,0.75,0.0312,0.5945,8.67,9
CO,1.0,0.0298,0.9866,8.67,9
CO,1.25,0.0362,1.2212,8.67,9
CO,1.5,0.0398,1.4529,8.67,9
CO,1.75,0.0401,1.6858,8.67,9
CO,2.0,0.045,2.2128,8.67,9
CO,2.25,0.0448,2.2115,8.67,9
CO,2.5,0.0504,2.5271,8.67,9
CO,2.75,0.0549,2.758,8.67,9
CO,3.0,0.0542,2.8403,8.67,9
CO,3.25,0.0664,3.198,8.67,9
CO,3.5,0.066,3.448,8.67,9
CO,3.75,0.0717,3.8474,8.67,9
CO,4.0,0.0699,3.8789,8.67,9
CO,4.25,0.0805,4.3037,8.67,9
CO,4.5,0.0886,4.5342,8.67,9
CO,4.75,0.0883,4.8835,8.67,9
CO,5.0,0.096,4.982,8.67,9
CO,5.25,0.0997,5.2943,8.67,9
CO,5.5,0.1085,5.5535,8.67,9
CO,5.75,0.1124,5.8115,8.67,9
CO,6.0,0.1202,5.968,8.67,9
CO,6.25,0.1301,6.3993,8.67,9
CO,6.5,0.1291,6.4086,8.67,9
CO,6.75,0.1396,6.7132,8.67,9
CO,7.0,0.1449,6.9288,8.67,9
CO,7.25,0.1585,7.2924,8.67,9
CO,7.5,0.1641,7.5644,8.67,9
CO,7.75,0.1761,7.8515,8.67,9
CO,8.0,0.1771,8.0176,8.67,9
CO,8.25,0.1896,8.3388,8.67,9
CO,8.5,0.1946,8.4969,8.67,9
CO,8.75,0.2046,8.7801,8.67,9
CO,9.0,0.2087,8.9187,8.67,9
CO,9.25,0.2286,9.3109,8.67,9
CO,9.5,0.2298,9.5539,8.67,9
CO,9.75,0.2407,9.8363,8.67,9
CO,10.0,0.2503,9.9675,8.67,9
