rationale_id,model,profile_id,repetition,burden_effect,algo_access_barriers,algo_collective_responsibility,algo_coercive_backlash,algo_autonomy_infringement,algo_procedural_legitimacy
R152,Claude Haiku,P02,5,44.0,0,0,0,0,0
R063,Claude Haiku,P19,1,37.0,0,0,0,0,0
R080,Claude Haiku,P15,2,20.0,0,0,0,0,0
R157,Claude Haiku,P23,2,30.0,1,1,0,0,0
R106,Claude Haiku,P08,2,37.0,0,0,0,0,0
R140,Claude Haiku,P14,4,30.0,1,0,0,0,0
R165,Claude Haiku,P27,4,14.0,0,0,1,0,0
R126,Claude Haiku,P09,2,20.0,1,0,0,0,0
R190,Claude Haiku,P04,3,37.0,1,0,0,0,0
R121,Claude Haiku,P15,4,20.0,0,0,0,0,0
R132,Claude Haiku,P12,1,30.0,0,0,1,0,0
R078,Claude Haiku,P23,5,30.0,1,1,0,0,0
R148,Claude Haiku,P18,4,14.0,0,0,1,0,0
R127,Claude Opus 4.8,P27,4,23.0,0,0,0,0,0
R117,Claude Opus 4.8,P04,2,33.0,1,1,0,0,0
R188,Claude Opus 4.8,P18,2,23.0,0,0,0,0,0
R105,Claude Opus 4.8,P11,1,53.0,0,1,0,0,0
R051,Claude Opus 4.8,P20,4,53.0,1,1,0,0,0
R048,Claude Opus 4.8,P09,5,23.0,1,0,0,0,0
R168,Claude Opus 4.8,P20,2,45.0,1,0,0,0,0
R020,Claude Opus 4.8,P10,1,47.0,1,0,0,0,0
R008,Claude Opus 4.8,P12,1,42.0,0,0,0,0,0
R037,Claude Opus 4.8,P05,5,37.0,1,1,0,0,0
R045,Claude Opus 4.8,P04,1,33.0,1,0,0,0,0
R068,Claude Opus 4.8,P08,2,37.0,1,0,0,0,0
R027,Claude Opus 4.8,P11,5,53.0,1,0,0,0,0
R065,Claude Sonnet 4.6,P07,3,26.0,1,1,0,0,0
R089,Claude Sonnet 4.6,P23,2,30.0,0,1,0,0,0
R180,Claude Sonnet 4.6,P18,5,20.0,0,1,0,0,0
R013,Claude Sonnet 4.6,P15,3,24.0,0,1,0,0,0
R172,Claude Sonnet 4.6,P17,2,30.0,0,1,0,0,0
R173,Claude Sonnet 4.6,P11,1,50.0,0,1,1,0,0
R114,Claude Sonnet 4.6,P15,4,24.0,0,1,0,0,0
R169,Claude Sonnet 4.6,P01,1,40.0,1,1,1,0,0
R138,Claude Sonnet 4.6,P20,1,44.0,0,1,0,0,0
R179,Claude Sonnet 4.6,P19,2,34.0,0,1,0,0,0
R015,Claude Sonnet 4.6,P24,1,24.0,0,1,0,0,0
R199,Claude Sonnet 4.6,P26,4,24.0,0,1,0,0,0
R035,Claude Sonnet 4.6,P24,4,24.0,0,1,0,0,0
R120,Cohere Command R+,P19,5,45.0,0,0,0,0,0
R109,Cohere Command R+,P18,1,30.0,0,0,0,0,0
R070,Cohere Command R+,P03,2,30.0,1,0,0,0,0
R032,Cohere Command R+,P09,1,25.0,0,1,0,0,0
R072,Cohere Command R+,P14,3,40.0,0,1,0,0,0
R186,Cohere Command R+,P11,4,50.0,0,0,0,0,0
R067,Cohere Command R+,P12,5,40.0,1,1,0,0,0
R110,Cohere Command R+,P13,1,30.0,1,0,0,0,0
R108,Cohere Command R+,P24,2,30.0,0,1,0,0,0
R092,Cohere Command R+,P18,3,30.0,0,1,0,0,0
R022,Cohere Command R+,P10,2,30.0,1,0,0,0,0
R024,Cohere Command R+,P22,5,30.0,0,1,0,0,0
R058,Cohere Command R+,P09,2,30.0,0,1,0,0,0
R097,DeepSeek-V3.2,P01,2,42.0,1,1,0,0,0
R047,DeepSeek-V3.2,P22,3,30.0,1,1,0,0,0
R149,DeepSeek-V3.2,P04,5,37.0,1,0,0,0,0
R094,DeepSeek-V3.2,P02,3,53.0,1,0,0,0,0
R036,DeepSeek-V3.2,P04,2,37.0,1,1,0,0,0
R122,DeepSeek-V3.2,P24,1,33.0,0,1,0,0,0
R125,DeepSeek-V3.2,P20,3,45.0,0,0,0,0,0
R113,DeepSeek-V3.2,P16,1,37.0,1,1,0,0,0
R019,DeepSeek-V3.2,P04,3,37.0,1,1,0,0,0
R084,DeepSeek-V3.2,P02,2,50.0,1,1,0,0,0
R197,DeepSeek-V3.2,P13,1,37.0,1,1,0,0,0
R012,DeepSeek-V3.2,P05,1,40.0,1,1,0,0,0
R030,DeepSeek-V3.2,P09,1,33.0,0,1,0,0,0
R163,GPT-4.1,P22,2,25.0,1,1,0,0,0
R066,GPT-4.1,P12,1,30.0,1,1,0,0,0
R133,GPT-4.1,P04,3,30.0,1,1,0,0,0
R053,GPT-4.1,P13,4,25.0,1,1,0,0,0
R002,GPT-4.1,P21,3,25.0,1,1,0,0,0
R123,GPT-4.1,P21,2,25.0,1,1,0,0,0
