model,contrast,b,p_CR1,p_CR1_corrected,p_wild_bootstrap
GPT-4.1,autonomy,8.5555555555555,6.706199537340069e-12,1.8545487082612152e-11,0.0005
GPT-4.1,collective,-6.970370370370361,1.6756767028141085e-09,4.194452240133465e-09,0.0005
GPT-4.1,equity,8.407407407407348,1.1600246044035739e-11,3.1818730939981136e-11,0.0005
Llama 3.1 70B Instruct,autonomy,10.074074074074105,1.149283040553503e-07,2.582430126693043e-07,0.0005
Llama 3.1 70B Instruct,collective,-1.777777777777814,0.13702418766601254,0.15503876527403923,0.125
Llama 3.1 70B Instruct,equity,9.364124909222966,6.982793540964227e-06,1.3604771890401821e-05,0.0005
Mistral Large,autonomy,4.074074074073977,0.00019083274383245471,0.000320448691173528,0.0005
Mistral Large,collective,-20.111111111111086,3.5564013677213746e-19,1.1299810052166035e-18,0.0005
Mistral Large,equity,2.592592592592453,0.023241602552399366,0.02959849738033075,0.027
Qwen3.7 Plus,autonomy,-2.874074074074258,0.0009389800047728564,0.0014505411029729195,0.002
Qwen3.7 Plus,collective,-14.651851851851845,6.364039861071517e-14,1.8638701262723743e-13,0.0005
Qwen3.7 Plus,equity,-0.9407407407408925,0.24951961476572682,0.27114961400952453,0.2645
