dropped_profile,h1_beta1,h1_p,h1_n,h2_access_barriers,h2_access_barriers_p,h2_collective_responsibility,h2_collective_responsibility_p,h2_coercive_backlash,h2_coercive_backlash_p,h3_autonomy,h3_autonomy_p,h3_collective,h3_collective_p,h3_equity,h3_equity_p
P01,-2.157884902804284,0.27871816722716614,15,1.1408869195652431,0.010739429597781498,0.1138207732666584,0.8750729548323265,1.743789882039611,0.1534807650872685,5.061538461538482,2.3596611815851913e-12,-10.953846153846131,2.151966777843463e-36,4.770802659254744,3.02561324106383e-11
P02,-2.1357613537281805,0.2820921830871971,15,1.1257475969950044,0.011979410375257321,0.03673796167232801,0.9593112267252454,1.7924371783120028,0.14727610934386334,5.173076923076945,5.428302140076376e-13,-10.815384615384591,9.641027259110671e-36,4.853586989182629,1.2985843390815305e-11
P03,-2.152470845500061,0.27778263241492857,15,0.9304617449611813,0.03387803233114457,-0.0189162279654842,0.9787735228754333,1.436887900499669,0.24810869341786546,4.884615384615407,1.301296357103098e-11,-10.805769230769208,1.305302020179721e-35,4.669127478966283,7.056029716666027e-11
P04,-2.243318834554404,0.2613091991391836,15,1.0038470204507874,0.02286907193352116,0.06322563694838612,0.9256059825000932,2.124312465144384,0.05776010903696306,4.792307692307715,1.7907353060210034e-11,-10.953846153846131,1.2899328976366054e-36,4.561068960336474,1.26349951585488e-10
P05,-2.171513450860722,0.2729822936632915,15,1.1503862302697663,0.008515299419337666,-0.012505295672875949,0.9858244170181455,1.811984952115937,0.13231969647385355,5.0576923076923315,2.7861487038460137e-12,-10.869230769230747,1.217916908747463e-36,4.799609374999935,2.6570947997840965e-11
P06,-2.1714566095130365,0.26901811634352985,15,1.263007064261486,0.003322983953013719,0.08002765135000356,0.9078707422756578,1.4656439471750413,0.23805004553191988,4.892307692307715,3.2832000971125924e-12,-10.799999999999976,3.5232997689607044e-37,4.76126802884609,4.916804689894038e-11
P07,-2.2628440644611634,0.2597794034111647,15,1.2264659394443798,0.004397397624550177,-0.03174172432303424,0.9627008496804074,1.2552808331419651,0.29975218276117144,4.888461538461563,1.2468188795223665e-11,-10.851923076923045,3.019871577126888e-36,4.669230769230774,2.985677281553448e-11
P08,-2.2366083454341186,0.26142979734641986,15,1.0565801000505495,0.016661047625068672,0.2051384074707161,0.7699920757254474,1.5549965835336022,0.1891041660671895,4.850000000000037,1.4378712216963319e-11,-10.915384615384577,3.1746296863695474e-37,4.603312800480724,2.0390029119288457e-11
P09,-2.178021606832367,0.2676923644608215,15,0.975652635688822,0.025928468489355174,0.08858889405590475,0.8993301143510025,1.1003784319989849,0.34807466543237187,5.051923076923112,2.8041749440717223e-12,-10.921153846153807,1.3446907272406275e-37,4.770979191706686,4.9359456780076225e-11
P10,-2.1680477823362065,0.27826236420130734,15,1.0295206257365637,0.01854539767274663,0.22158341446111152,0.758491625706211,1.5643512777558428,0.195391636225411,5.176923076923112,5.934740362197047e-13,-10.899999999999961,1.915305289923112e-37,4.978787935697071,6.233351296563069e-12
P11,-2.1259001500026145,0.28570528177436505,15,1.0945999458930902,0.01316430937151925,0.3284084549473507,0.6499608487619566,1.099969816968883,0.35094646140173835,5.096153846153881,1.3083155222241374e-12,-10.71923076923073,1.1057382718456897e-35,4.86754995492784,1.4831557236916653e-11
