model,provider,access_route,requested_model_id,returned_model_id,route_provider,item_id,dimension,reverse_coded,raw_response,parsed_score,valid_score,timestamp,temperature,top_p,metadata_json
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,AP1,AP,0,"5
3
5
5
5
4
5
3
4
3
4
5
5
5
3
5
3
3
5
4",5,1,2026-06-04T20:12:06.641081+00:00,0,default,"{""id"": ""gen-1780603924-1Chs6VVb3NJsypzAta7a"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,BS2,BS,1,"5
3
5
5
5
4
5
3
4
3
4
5
5
5
3
5
3
3
5
4",3,1,2026-06-04T20:12:06.641081+00:00,0,default,"{""id"": ""gen-1780603924-1Chs6VVb3NJsypzAta7a"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,ST3,ST,0,"5
3
5
5
5
4
5
3
4
3
4
5
5
5
3
5
3
3
5
4",5,1,2026-06-04T20:12:06.641081+00:00,0,default,"{""id"": ""gen-1780603924-1Chs6VVb3NJsypzAta7a"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,CA2,CA,1,"5
3
5
5
5
4
5
3
4
3
4
5
5
5
3
5
3
3
5
4",5,1,2026-06-04T20:12:06.641081+00:00,0,default,"{""id"": ""gen-1780603924-1Chs6VVb3NJsypzAta7a"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,CO1,CO,0,"5
3
5
5
5
4
5
3
4
3
4
5
5
5
3
5
3
3
5
4",5,1,2026-06-04T20:12:06.641081+00:00,0,default,"{""id"": ""gen-1780603924-1Chs6VVb3NJsypzAta7a"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,AP4,AP,1,"5
3
5
5
5
4
5
3
4
3
4
5
5
5
3
5
3
3
5
4",4,1,2026-06-04T20:12:06.641081+00:00,0,default,"{""id"": ""gen-1780603924-1Chs6VVb3NJsypzAta7a"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,BS1,BS,0,"5
3
5
5
5
4
5
3
4
3
4
5
5
5
3
5
3
3
5
4",5,1,2026-06-04T20:12:06.641081+00:00,0,default,"{""id"": ""gen-1780603924-1Chs6VVb3NJsypzAta7a"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,ST4,ST,1,"5
3
5
5
5
4
5
3
4
3
4
5
5
5
3
5
3
3
5
4",3,1,2026-06-04T20:12:06.641081+00:00,0,default,"{""id"": ""gen-1780603924-1Chs6VVb3NJsypzAta7a"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,CA3,CA,0,"5
3
5
5
5
4
5
3
4
3
4
5
5
5
3
5
3
3
5
4",4,1,2026-06-04T20:12:06.641081+00:00,0,default,"{""id"": ""gen-1780603924-1Chs6VVb3NJsypzAta7a"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
Claude Opus 4.8,Anthropic,OpenRouter,anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,Anthropic,CO4,CO,1,"5
3
5
5
5
4
5
3
4
3
4
5
5
5
3
5
3
3
5
4",3,1,2026-06-04T20:12:06.641081+00:00,0,default,"{""id"": ""gen-1780603924-1Chs6VVb3NJsypzAta7a"", ""model"": ""anthropic/claude-4.8-opus-20260528"", ""provider"": ""Anthropic""}"
